agents,solveIndModel,solveDynamic,solveStaticOverlap,solveStaticNonOverlap,solveStaticNoPool,solveGreedyDynamic,maxUtil,solveNN
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.5, 0.75)]",0.5625,0.84375,0.84375,0.84375,0.75,0.84375,1.125,0.796875
"[(0, 0.75, 0.5), (1, 0.75, 0.5), (2, 0.75, 0.75)]",0.84375,0.984375,0.984375,0.9375,0.9375,0.984375,1.3125,0.84375
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.609375,0.65625,0.65625,0.65625,0.5625,0.65625,0.75,0.609375
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.6796875,0.796875,0.796875,0.796875,0.75,0.796875,0.9375,0.75
"[(0, 0.75, 0.5), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.75,0.9375,0.9375,0.9375,0.9375,0.9375,1.125,0.84375
"[(0, 0.75, 0.5), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.84375,0.9375,0.9375,0.9375,0.75,0.9375,1.125,0.7978940217391304
"[(0, 0.75, 0.5), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.9140625,1.078125,1.078125,1.078125,0.9375,1.078125,1.3125,0.9140625
"[(0, 0.75, 0.5), (1, 0.75, 0.75), (2, 0.75, 0.75)]",1.078125,1.21875,1.21875,1.21875,1.125,1.21875,1.5,1.0546875
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.25, 0.75)]",0.3984375,0.46875,0.46875,0.46875,0.375,0.46875,0.5625,0.328125
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.5, 0.75)]",0.29296875,0.65625,0.65625,0.65625,0.5625,0.65625,0.75,0.421875
"[(0, 0.25, 0.75), (1, 0.25, 0.75), (2, 0.75, 0.75)]",0.328125,0.84375,0.84375,0.84375,0.75,0.84375,0.9375,0.703125
"[(0, 0.25, 0.75), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.609375,0.796875,0.796875,0.796875,0.75,0.796875,0.9375,0.66796875
"[(0, 0.25, 0.75), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.36328125,0.984375,0.984375,0.984375,0.9375,0.984375,1.125,0.94921875
"[(0, 0.25, 0.75), (1, 0.75, 0.75), (2, 0.75, 0.75)]",0.3984375,1.125,1.125,1.125,1.125,1.125,1.3125,1.125
"[(0, 0.5, 0.75), (1, 0.5, 0.75), (2, 0.5, 0.75)]",0.796875,0.9375,0.9375,0.9375,0.75,0.9375,1.125,0.7734375
"[(0, 0.5, 0.75), (1, 0.5, 0.75), (2, 0.75, 0.75)]",0.83203125,1.125,1.125,1.125,0.9375,1.125,1.3125,1.08984375
"[(0, 0.5, 0.75), (1, 0.75, 0.75), (2, 0.75, 0.75)]",1.0078125,1.265625,1.265625,1.265625,1.125,1.265625,1.5,1.0546875
"[(0, 0.75, 0.75), (1, 0.75, 0.75), (2, 0.75, 0.75)]",1.1953125,1.40625,1.40625,1.40625,1.125,1.40625,1.6875,1.2285684121621623
